timestamp;process_stage;active_power_mw;reactive_power_mvar;power_factor;electrode_current_1_ka;electrode_current_2_ka;electrode_current_3_ka;arc_voltage_v;short_circuit_current_ka;electrode_impedance_1_mohm;electrode_impedance_2_mohm;electrode_impedance_3_mohm;harmonic_distortion_percent;flicker_severity;bath_temperature_c;roof_temperature_c;exhaust_gas_temp_c;cooling_water_temp_in_c;cooling_water_temp_out_c;refractory_wear_rate_mm_per_heat;heat_loss_through_walls_mw;carbon_content_percent;silicon_content_percent;manganese_content_percent;phosphorus_content_percent;sulfur_content_percent;oxygen_activity_ppm;nitrogen_content_ppm;hydrogen_content_ppm;aluminum_content_percent;offgas_flow_rate_knm3_per_h;co_content_percent;co2_content_percent;h2_content_percent;o2_content_percent;dust_content_g_per_m3;baghouse_differential_pressure_pa;slag_basicity;feo_content_in_slag_percent;mgo_content_in_slag_percent;slag_viscosity_pa_s;slag_temperature_c;slag_weight_tons;electrode_consumption_rate_kg_per_t;electrode_position_1_mm;electrode_position_2_mm;electrode_position_3_mm;furnace_pressure_pa;vibration_level_mm_per_s;specific_energy_consumption_kwh_per_t;oxygen_injection_rate_nm3_per_min;carbon_injection_rate_kg_per_min;lime_injection_rate_kg_per_min;scrap_to_hot_metal_ratio;arc_noise_level_db;frequency_spectrum_100hz_db;frequency_spectrum_1000hz_db;frequency_spectrum_5000hz_db;wall_refractory_thickness_mm;hearth_refractory_thickness_mm;heats_since_relining;expected_remaining_heats;efficiency_percent
2025-01-01 00:00:00;oxidation;81.1;42.15;0.858;49.87;45.23;40.35;307.6;111.7;3.303;2.911;2.938;3.52;4.3;1580.4;939.9;1385.8;25.1;42.4;0.682;19.56;0.117;0.147;0.315;0.0153;0.0104;421.6;129.1;4.53;0.0126;203.1;63.3;14.0;11.3;0.77;19.95;1235.0;3.29;25.9;6.9;0.169;1560.9;40.4;1.67;968.0;1059.0;914.0;-14.8;3.25;379.6;49.1;192.6;99.1;0.792;105.9;74.8;94.5;64.7;349.0;455.0;2128;381;64.44
2025-01-01 00:05:00;melting;92.72;37.45;0.924;43.04;47.05;47.2;373.1;112.4;3.355;3.818;3.198;9.36;5.52;1616.4;928.3;1359.4;23.6;49.4;0.907;17.13;0.081;0.164;0.293;0.0119;0.0144;558.1;89.1;4.96;0.0208;159.7;76.1;18.5;10.7;0.96;14.11;1442.0;2.32;19.1;9.2;0.22;1607.3;46.1;1.47;918.0;1020.0;914.0;-14.3;4.13;336.4;39.3;214.5;99.8;0.886;116.6;69.1;85.9;48.2;386.0;646.0;247;570;78.45
2025-01-01 00:10:00;oxidation;96.26;28.48;0.832;44.32;55.78;39.5;340.0;109.2;2.938;2.892;3.488;7.85;2.72;1670.3;838.9;1346.3;31.7;42.1;0.584;12.59;0.082;0.132;0.182;0.0132;0.0093;392.4;107.5;3.69;0.0299;187.1;69.1;13.3;7.6;1.19;22.07;1320.0;2.58;19.6;7.3;0.157;1553.5;29.4;1.8;1012.0;997.0;1154.0;-10.1;3.88;365.9;37.5;147.2;162.4;0.845;125.8;70.9;97.2;63.9;623.0;748.0;646;529;82.96
2025-01-01 00:15:00;reduction;96.43;43.03;0.822;48.52;43.46;51.3;319.2;124.6;4.005;3.201;3.301;8.86;4.2;1584.2;868.5;1516.3;23.5;49.8;0.749;14.38;0.094;0.234;0.376;0.0217;0.0127;380.8;117.7;7.05;0.0316;181.4;56.7;18.3;11.2;0.79;23.87;905.0;2.05;32.6;9.0;0.277;1574.1;48.9;1.93;1048.0;757.0;799.0;-15.7;4.06;277.5;26.2;190.6;76.8;0.715;118.0;93.7;83.9;54.3;354.0;580.0;660;1086;63.4
2025-01-01 00:20:00;oxidation;87.54;33.71;0.925;43.06;49.18;45.08;442.6;120.7;3.343;3.028;2.66;6.5;2.25;1622.5;787.8;1509.6;26.3;49.1;0.858;16.95;0.104;0.132;0.287;0.0159;0.0152;250.4;140.9;3.3;0.0058;139.7;65.4;15.4;5.2;1.29;20.09;1112.0;2.63;25.5;5.1;0.236;1603.9;42.6;1.6;1040.0;1042.0;673.0;-18.2;0.79;371.0;45.1;224.4;130.7;0.676;106.4;78.2;91.3;82.1;608.0;646.0;2150;1134;60.0
2025-01-01 00:25:00;charging;84.17;50.61;0.899;39.45;44.6;44.99;421.0;113.5;3.118;3.301;2.682;6.85;4.56;1644.6;710.4;1134.2;26.0;40.9;0.769;14.98;0.076;0.146;0.311;0.0131;0.0094;380.1;153.4;6.85;0.0178;192.7;77.8;15.7;5.3;1.56;17.91;1316.0;2.07;18.1;10.6;0.258;1609.9;47.9;1.42;645.0;767.0;958.0;-10.4;3.57;382.5;38.0;139.4;142.1;0.792;123.7;91.3;64.8;70.1;562.0;608.0;2517;407;80.4
2025-01-01 00:30:00;charging;68.85;30.53;0.816;50.57;41.47;41.12;353.4;117.1;3.257;3.509;3.459;8.26;4.64;1680.1;862.6;1566.5;27.6;46.1;0.727;15.06;0.115;0.158;0.133;0.0112;0.0095;496.0;184.5;6.21;0.0108;213.2;77.4;17.5;10.0;1.56;12.75;1260.0;2.92;16.5;7.7;0.269;1608.3;45.5;2.16;936.0;699.0;818.0;-19.3;4.68;376.2;44.0;107.8;139.5;0.809;126.8;69.1;87.3;76.3;317.0;739.0;568;564;67.19
2025-01-01 00:35:00;tapping;87.72;35.72;0.859;50.51;47.33;33.99;394.8;134.4;3.568;3.067;3.511;8.59;3.5;1627.5;739.0;1402.9;24.5;48.8;0.648;16.8;0.098;0.254;0.147;0.0128;0.0069;472.4;44.6;5.89;0.037;139.7;63.0;15.3;6.2;1.04;10.91;1107.0;4.13;25.0;6.3;0.371;1569.7;64.4;1.92;884.0;736.0;745.0;-24.0;3.52;371.0;38.7;168.9;157.6;0.69;105.0;81.7;74.3;49.5;316.0;764.0;1650;491;71.68
2025-01-01 00:40:00;melting;70.02;49.64;0.825;40.61;48.97;47.99;366.3;127.0;2.974;3.513;3.702;5.58;5.62;1622.2;920.5;1476.0;26.1;42.8;0.915;14.07;0.02;0.094;0.287;0.0214;0.0148;492.7;68.6;3.18;0.035;184.0;79.2;19.9;9.9;0.76;19.48;1354.0;2.67;29.1;6.7;0.295;1562.0;51.4;2.0;707.0;1043.0;877.0;-22.0;2.23;456.2;40.7;180.3;142.0;0.696;108.7;70.5;46.0;68.2;341.0;609.0;1417;451;60.0
2025-01-01 00:45:00;tapping;79.76;50.76;0.899;48.28;40.31;43.5;331.9;116.6;4.213;3.464;2.611;9.44;5.47;1648.1;894.0;1223.4;23.6;50.6;0.503;13.13;0.056;0.185;0.165;0.014;0.0075;420.0;96.7;4.51;0.0156;174.7;76.5;12.6;9.5;0.69;13.23;1171.0;3.34;22.5;7.2;0.248;1559.8;46.1;2.06;1103.0;909.0;501.0;-13.7;3.45;402.2;31.6;195.5;146.5;0.755;97.7;86.3;65.7;56.8;587.0;630.0;793;805;66.13
